Cluster,Healthy,Non-inflamed,Inflamed,Inflamed_minus_Healthy,Noninflamed_minus_Healthy,Abs_inflamed_change
Follicular,7.050533364478705,8.968729603038035,12.849831209844279,5.799297845365574,1.9181962385593305,5.799297845365574
CD4+ Activated Fos-lo,6.927898466090478,4.545184833560791,3.0469345529783296,-3.8809639131121485,-2.382713632529687,3.8809639131121485
CD4+ Activated Fos-hi,6.859767966985906,5.878775292232837,3.1786997713165634,-3.6810681956693427,-0.9809926747530691,3.6810681956693427
CD4+ Memory,9.719302343689169,14.365394885183647,13.211368833714474,3.492066490025305,4.646092541494479,3.492066490025305
Plasma,42.976718835163126,35.665756838545065,39.78002831318741,-3.196690521975718,-7.310961996618062,3.196690521975718
CD8+ IELs,2.9627034182044696,1.7741648371209875,0.9343351845802026,-2.028368233624267,-1.188538581083482,2.028368233624267
Tregs,2.040021801759713,3.4252061947427754,3.393226614396167,1.353204812636454,1.3851843929830623,1.353204812636454
Cycling B,0.6501596200264735,0.49249391799679587,1.6824567134923227,1.032297093465849,-0.15766570202967767,1.032297093465849
CD69+ Mast,1.8103246904928754,3.164125081587848,2.8215180224327563,1.011193331939881,1.3538003910949725,1.011193331939881
Macrophages,6.97850969399673,8.818904646057083,7.799194163127518,0.8206844691307875,1.840394952060353,0.8206844691307875
Inflammatory Monocytes,0.23943003971034804,0.9241678039518187,0.9866056844168571,0.7471756447065091,0.6847377642414707,0.7471756447065091
CD8+ LP,7.08557190687534,8.078680353646234,6.369378198845693,-0.716193708029647,0.9931084467708944,0.716193708029647
DC2,1.4385268239507902,1.2801875037085386,0.8591963410650114,-0.5793304828857788,-0.1583393202422516,0.5793304828857788
GC,0.30172078174881256,0.12015664866789297,0.7404987476859414,0.4387779659371288,-0.1815641330809196,0.4387779659371288
MT-hi,0.4399283656466558,0.17207618821574794,0.10889687465969727,-0.3310314909869585,-0.26785217743090783,0.3310314909869585
Cycling Monocytes,0.3717978665420852,0.12015664866789297,0.08493956223456386,-0.28685830430752135,-0.25164121787419225,0.28685830430752135
CD4+ PD1+,0.14599392665265123,0.07120393995134397,0.32015681149951,0.17416288484685874,-0.07478998670130727,0.17416288484685874
ILCs,0.2978276103714086,0.2506972052453569,0.20363715561363388,-0.09419045475777471,-0.04713040512605171,0.09419045475777471
DC1,0.2608424822860702,0.20322791194446094,0.1709680932157247,-0.0898743890703455,-0.05761457034160927,0.0898743890703455
CD69- Mast,0.116795141322121,0.07862101702960897,0.03266906239790918,-0.08412607892421183,-0.03817412429251203,0.08412607892421183
CD8+ IL17+,0.19076539749279764,0.21509523526968494,0.26897528040945223,0.0782098829166546,0.024329837776887298,0.0782098829166546
Cycling T,0.2666822393521763,0.2284459740105619,0.2896656865947947,0.022983447242618416,-0.03823626534161437,0.022983447242618416
NKs,0.8681772171610993,1.1585474396249926,0.8668191222911903,-0.00135809486990901,0.2903702224638933,0.00135809486990901
