names,scores,logfoldchanges,pvals,pvals_adj
MALAT1,45.838917,2.860634,0.0,0.0
S100A6,44.159744,2.6915853,0.0,0.0
RPL39,43.61324,2.2560227,0.0,0.0
NEAT1,40.95094,2.325158,0.0,0.0
S100A9,39.425312,4.1659684,0.0,0.0
S100A8,37.88002,7.83977,0.0,0.0
MT-ND3,37.271877,2.2110028,4.6865294662553996e-304,4.3731710642162315e-301
RPL34,37.00259,1.181218,1.0404592413713166e-299,8.899828235879899e-297
RPS24,32.22989,0.96579427,6.732203955042109e-228,4.318919218533108e-225
RPL21,32.20903,0.7659637,1.319145349356337e-227,8.206283296041285e-225
MT-CO1,31.95808,1.3069205,4.17211110222178e-224,2.447121966214598e-221
S100A4,31.206474,1.8535563,8.703575068026063e-214,4.963213682541862e-211
SH3BGRL3,31.196184,1.1461701,1.2002736035618867e-213,6.659572110141074e-211
RP11-1143G9.4,29.641462,2.7787383,4.369577853695009e-193,2.2425765939626212e-190
FOS,29.373943,1.4951313,1.182027721020388e-189,5.777582639244654e-187
MT-ND2,28.856401,1.2746011,4.211421866230116e-183,1.921250655374179e-180
FCN1,27.987616,7.4825172,2.299007854761797e-172,9.076217740462488e-170
RPL28,27.959848,0.64303684,5.004075005078159e-172,1.9382765241367836e-169
C14orf2,27.629368,1.4813545,4.939907687873554e-168,1.810917230792075e-165
MT-CO2,27.435608,1.282305,1.0317632663706457e-165,3.6519082922970666e-163
S100A12,26.719837,9.945537,2.7688603164129182e-157,9.318349743547671e-155
MT-ND4,26.17659,1.1518571,4.910234323179616e-151,1.6000349273103862e-148
CSTA,25.838512,2.668692,3.2755903644197747e-147,1.0036506655399037e-144
RPL32,25.531527,0.54368454,8.807283557851297e-144,2.582924630844704e-141
H3F3A,25.307755,0.7667874,2.624299164461419e-141,7.48253299267062e-139
LST1,24.999784,1.1057967,6.146578391817972e-138,1.705177132508529e-135
MT-ND5,24.559717,1.2134515,3.405598348725631e-133,9.199148486972168e-131
